a              b              GF_product_p                  GF_product_t                                      
71             9              5.4836273193359375            1.430511474609375                                 
60             9              5.0067901611328125            0.95367431640625                                  
101            9              4.76837158203125              0.95367431640625                                  
174            9              4.5299530029296875            0.95367431640625                                  
172            9              4.291534423828125             0.7152557373046875                                
34             9              4.5299530029296875            0.7152557373046875                                
1              9              4.291534423828125             0.7152557373046875                                
115            9              4.76837158203125              0.7152557373046875                                
143            9              4.5299530029296875            0.7152557373046875                                
181            9              4.291534423828125             0.95367431640625                                  
165            9              4.5299530029296875            0.95367431640625                                  
37             9              4.5299530029296875            0.95367431640625                                  
44             9              4.5299530029296875            0.95367431640625                                  
214            9              4.5299530029296875            0.95367431640625                                  
44             9              4.291534423828125             0.95367431640625                                  
202            9              4.5299530029296875            0.7152557373046875                                
29             9              4.291534423828125             0.7152557373046875                                
214            9              4.5299530029296875            0.7152557373046875                                
151            9              4.5299530029296875            0.95367431640625                                  
221            9              4.5299530029296875            0.95367431640625                                  
194            9              4.291534423828125             0.95367431640625                                  
168            9              4.291534423828125             0.7152557373046875                                
240            9              4.5299530029296875            0.95367431640625                                  
101            9              4.5299530029296875            0.7152557373046875                                
224            9              4.76837158203125              0.7152557373046875                                
70             9              4.5299530029296875            0.7152557373046875                                
150            9              4.5299530029296875            0.95367431640625                                  
252            9              4.5299530029296875            0.95367431640625                                  
244            9              4.5299530029296875            0.95367431640625                                  
157            9              4.5299530029296875            0.95367431640625                                  
67             9              4.5299530029296875            0.95367431640625                                  
207            9              4.76837158203125              0.7152557373046875                                
152            9              4.291534423828125             0.95367431640625                                  
123            9              4.291534423828125             0.7152557373046875                                
237            9              4.5299530029296875            0.95367431640625                                  
136            9              4.5299530029296875            0.95367431640625                                  
190            9              4.76837158203125              0.7152557373046875                                
125            9              4.291534423828125             0.7152557373046875                                
31             9              4.291534423828125             0.95367431640625                                  
158            9              4.5299530029296875            0.95367431640625                                  
1              9              4.291534423828125             0.95367431640625                                  
228            9              4.5299530029296875            0.7152557373046875                                
14             9              4.291534423828125             0.95367431640625                                  
251            9              4.76837158203125              0.7152557373046875                                
22             9              4.291534423828125             0.95367431640625                                  
17             9              4.291534423828125             0.7152557373046875                                
103            9              4.5299530029296875            0.95367431640625                                  
244            9              4.5299530029296875            0.7152557373046875                                
19             9              4.291534423828125             0.7152557373046875                                
126            9              4.291534423828125             0.7152557373046875                                
78             9              4.291534423828125             0.7152557373046875                                
100            9              4.291534423828125             0.95367431640625                                  
87             9              4.76837158203125              0.95367431640625                                  
160            9              4.5299530029296875            0.95367431640625                                  
214            9              4.5299530029296875            0.95367431640625                                  
185            9              4.5299530029296875            0.7152557373046875                                
27             9              4.5299530029296875            0.7152557373046875                                
181            9              4.291534423828125             0.95367431640625                                  
184            9              4.5299530029296875            0.95367431640625                                  
240            9              4.5299530029296875            0.95367431640625                                  
33             9              4.5299530029296875            0.95367431640625                                  
23             9              4.5299530029296875            0.95367431640625                                  
215            9              4.5299530029296875            0.7152557373046875                                
150            9              4.291534423828125             0.7152557373046875                                
198            9              4.291534423828125             0.95367431640625                                  
224            9              4.5299530029296875            0.95367431640625                                  
13             9              4.291534423828125             0.95367431640625                                  
169            9              4.76837158203125              0.7152557373046875                                
81             9              4.5299530029296875            0.95367431640625                                  
92             9              4.5299530029296875            0.95367431640625                                  
232            9              4.5299530029296875            0.95367431640625                                  
86             9              4.5299530029296875            0.95367431640625                                  
134            9              4.5299530029296875            0.95367431640625                                  
76             9              4.76837158203125              0.95367431640625                                  
203            9              4.5299530029296875            0.95367431640625                                  
178            9              4.5299530029296875            0.7152557373046875                                
199            9              4.5299530029296875            0.7152557373046875                                
169            9              4.5299530029296875            0.7152557373046875                                
58             9              4.291534423828125             0.95367431640625                                  
175            9              4.5299530029296875            0.7152557373046875                                
148            9              4.5299530029296875            0.95367431640625                                  
65             9              4.291534423828125             0.7152557373046875                                
107            9              4.5299530029296875            0.95367431640625                                  
12             9              4.291534423828125             0.95367431640625                                  
108            9              4.5299530029296875            0.7152557373046875                                
92             9              4.5299530029296875            0.7152557373046875                                
225            9              4.5299530029296875            0.7152557373046875                                
21             9              4.5299530029296875            0.7152557373046875                                
202            9              4.5299530029296875            0.7152557373046875                                
219            9              4.5299530029296875            0.7152557373046875                                
220            9              4.5299530029296875            0.95367431640625                                  
111            9              4.5299530029296875            0.95367431640625                                  
0              9              0.476837158203125             0.476837158203125                                 
179            9              4.5299530029296875            0.7152557373046875                                
